,Importers,Country,Product,Quantity,Year,Month,Unit,Values
216,Papua New Guinea,Australia,070200,74,2019,M10,Tons,3
217,Kuwait,Australia,070200,0,2019,M10,Tons,0
218,Fiji,Australia,070200,0,2019,M10,Tons,12
219,Nauru,Australia,070200,1,2019,M10,Tons,3
220,New Caledonia,Australia,070200,0,2019,M10,Tons,0
221,Vanuatu,Australia,070200,0,2019,M10,Tons,0
222,New Zealand,Australia,070200,0,2019,M10,Tons,7
223,French Polynesia,Australia,070200,0,2019,M10,Tons,0
224,Solomon Islands,Australia,070200,17,2019,M10,Tons,1
225,Malaysia,Australia,070200,10,2019,M11,Tons,2
226,Singapore,Australia,070200,18,2019,M11,Tons,77
227,"Hong Kong, China",Australia,070200,2,2019,M11,Tons,18
228,Qatar,Australia,070200,0,2019,M11,Tons,0
229,Brunei Darussalam,Australia,070200,4,2019,M11,Tons,12
230,Indonesia,Australia,070200,0,2019,M11,Tons,0
231,Papua New Guinea,Australia,070200,99,2019,M11,Tons,3
232,Kuwait,Australia,070200,0,2019,M11,Tons,0
233,Fiji,Australia,070200,1,2019,M11,Tons,11
234,Nauru,Australia,070200,3,2019,M11,Tons,5
235,New Caledonia,Australia,070200,0,2019,M11,Tons,0
236,Vanuatu,Australia,070200,29,2019,M11,Tons,1
237,New Zealand,Australia,070200,0,2019,M11,Tons,0
238,French Polynesia,Australia,070200,13,2019,M11,Tons,0
239,Solomon Islands,Australia,070200,0,2019,M11,Tons,0
240,Malaysia,Australia,070200,10,2019,M12,Tons,3
241,Singapore,Australia,070200,25,2019,M12,Tons,74
242,"Hong Kong, China",Australia,070200,7,2019,M12,Tons,24
243,Qatar,Australia,070200,1,2019,M12,Tons,0
244,Brunei Darussalam,Australia,070200,1,2019,M12,Tons,10
245,Indonesia,Australia,070200,0,2019,M12,Tons,14
246,Papua New Guinea,Australia,070200,57,2019,M12,Tons,2
247,Kuwait,Australia,070200,0,2019,M12,Tons,0
248,Fiji,Australia,070200,1,2019,M12,Tons,11
249,Nauru,Australia,070200,1,2019,M12,Tons,3
250,New Caledonia,Australia,070200,0,2019,M12,Tons,0
251,Vanuatu,Australia,070200,1,2019,M12,Tons,2
252,New Zealand,Australia,070200,0,2019,M12,Tons,0
253,French Polynesia,Australia,070200,28,2019,M12,Tons,0
254,Solomon Islands,Australia,070200,13,2019,M12,Tons,0
255,Malaysia,Australia,070200,18,2020,M01,Tons,2
256,Singapore,Australia,070200,33,2020,M01,Tons,69
257,"Hong Kong, China",Australia,070200,13,2020,M01,Tons,23
258,Qatar,Australia,070200,0,2020,M01,Tons,0
259,Brunei Darussalam,Australia,070200,3,2020,M01,Tons,15
260,Indonesia,Australia,070200,0,2020,M01,Tons,0
261,Papua New Guinea,Australia,070200,41,2020,M01,Tons,2
262,Kuwait,Australia,070200,0,2020,M01,Tons,0
263,Fiji,Australia,070200,0,2020,M01,Tons,11
264,Nauru,Australia,070200,3,2020,M01,Tons,3
265,New Caledonia,Australia,070200,0,2020,M01,Tons,23
266,Vanuatu,Australia,070200,1,2020,M01,Tons,0
267,New Zealand,Australia,070200,0,2020,M01,Tons,0
268,French Polynesia,Australia,070200,0,2020,M01,Tons,0
269,Solomon Islands,Australia,070200,0,2020,M01,Tons,0
270,Malaysia,Australia,070200,137,2020,M02,Tons,2
271,Singapore,Australia,070200,177,2020,M02,Tons,59
272,"Hong Kong, China",Australia,070200,4,2020,M02,Tons,16
273,Qatar,Australia,070200,106,2020,M02,Tons,0
274,Brunei Darussalam,Australia,070200,8,2020,M02,Tons,14
275,Indonesia,Australia,070200,0,2020,M02,Tons,0
276,Papua New Guinea,Australia,070200,46,2020,M02,Tons,3
277,Kuwait,Australia,070200,0,2020,M02,Tons,0
278,Fiji,Australia,070200,0,2020,M02,Tons,13
279,Nauru,Australia,070200,2,2020,M02,Tons,3
280,New Caledonia,Australia,070200,0,2020,M02,Tons,24
281,Vanuatu,Australia,070200,1,2020,M02,Tons,1
282,New Zealand,Australia,070200,0,2020,M02,Tons,0
283,French Polynesia,Australia,070200,0,2020,M02,Tons,0
284,Solomon Islands,Australia,070200,4,2020,M02,Tons,0
285,Malaysia,Australia,070200,434,2020,M03,Tons,3
